categoria,code,nombre,precio,img
MANGUERAS,,MANGUERA AGUA DIAM 8 MM,2800,img/products/manguera-agua-diam-8-mm.jpg
MANGUERAS,,MANGUERA NAFTA DIAM 6 MM,2500,img/products/manguera-nafta-diam-6-mm.jpg
MANGUERAS,,MANGUERA GAS 5TA 11 MM,4700,img/products/manguera-gas-5ta-11-mm.jpg
MANGUERAS,,MANGUERA GAS 12 MM,0,img/products/manguera-gas-12-mm.jpg
MANGUERAS,,MANGUERA GAS 5 MM,2500,img/products/manguera-gas-5-mm.jpg
MANGUERAS,,MALLADA IGNIFUGA DIAM. 17 MM,6000,img/products/mallada-ignifuga-diam-17-mm.jpg
MANGUERAS,,GOMA AMORTIGUACION,2000,img/products/goma-amortiguacion.jpg
MANGUERAS,,FUNDA PARA ZUNCHO,2000,img/products/funda-para-zuncho.jpg
MANGUERAS,,VACIO 4X8 MM,2000,img/products/vacio-4x8-mm.jpg
ACCESORIOS,,ABRAZADERAS 16-27 MANGUERA IGNIFUGA,750,img/products/abrazaderas-16-27-manguera-ignifuga.jpg
ACCESORIOS,,ABRAZADERAS 8-16 MANGUERA NAFTA - AGUA,700,img/products/abrazaderas-8-16-manguera-nafta-agua.jpg
ACCESORIOS,,ABRAZADERAS 8-12 MANGUERA INY. RAMPA,700,img/products/abrazaderas-8-12-manguera-iny-rampa.jpg
ACCESORIOS,,ABRAZADERAS 12-22 MANGUERA GAS PP,750,img/products/abrazaderas-12-22-manguera-gas-pp.jpg
ACCESORIOS,,ABRAZADERAS 23-35 CAÑO RETRACTIL VENTEO,750,img/products/abrazaderas-23-35-cano-retractil-venteo.jpg
ACCESORIOS,,ABRAZADERAS 30-45 CAÑO CORRUGADO,750,img/products/abrazaderas-30-45-cano-corrugado.jpg
ACCESORIOS,,ARANDELA P/ MANOMETRO,100,img/products/arandela-p-manometro.jpg
ACCESORIOS,,CAÑO BUNDY,11000,img/products/cano-bundy.jpg
ACCESORIOS,,PICOS INYECTOR 10/12/14 MM,4500,img/products/picos-inyector-10-12-14-mm.jpg
ACCESORIOS,,REGISTRO DE ALTA 17 X 17 -REG ALTA-TEE REG,2500,img/products/Registro-De-Alta.jpg
ACCESORIOS,,MEZCLADORES TECNO ALUMINIO,42000,img/products/mezcladores-tecno-aluminio.jpg
ACCESORIOS,,BOLSA DE VENTEO DOBLE,1500,img/products/bolsa-de-venteo-doble.jpg
ACCESORIOS,,PRECINTOS 19 MM X100,6500,img/products/precintos-19-mm-x100.jpg
ACCESORIOS,,TEE DE MANOMETRO,4000,img/products/tee-de-manometro.jpg
ACCESORIOS,,GRAMPA CAÑO BUNDY,100,img/products/grampa-cano-bundy.jpg
ACCESORIOS,,CODO DE AGUA REG,700,img/products/codo-de-agua-reg.jpg
ACCESORIOS,,TEE PASO AGUA 17 X 17 X 8,2200,img/products/tee-paso-agua-17-x-17-x-8.jpg
ACCESORIOS,,HONGO DE VENTEO,500,img/products/hongo-de-venteo.jpg
ACCESORIOS,,NIPLE LARGO,1200,img/products/niple-largo.jpg
ACCESORIOS,,NIPLE DE ALTA PRESION,900,img/products/niple-de-alta-presion.jpg
ACCESORIOS,,TAPON ALTA PRESION,1200,img/products/tapon-alta-presion.jpg
ACCESORIOS,,SOPORTE VALV. CARGA,1500,img/products/soporte-valv-carga.jpg
ACCESORIOS,,VIROLAS,250,img/products/virolas.jpg
VALVULAS,,TAPON PICO DE CARGA,6000,img/products/tapon-pico-de-carga.jpg
VALVULAS,,VALVULA DE CARGA,39000,img/products/valvula-de-carga.jpg
VALVULAS,,VALVULA DE CARGA EXTERNA,29000,img/products/valvula-de-carga-externa.jpg
VALVULAS,,VALVULA DE CORTE ELECTRICO C/ DOBLE VENTEO,55000,img/products/valvula-de-corte-electrico-c-doble-venteo.jpg
VALVULAS,,ELECTROVALVULA DE NAFTA,30000,img/products/electrovalvula-de-nafta.jpg
VALVULAS,,PICO DE CARGA,15000,img/products/pico-de-carga.jpg
VALVULAS,,VALVULA NO RETORNO TIPO LAPIZ,10000,img/products/valvula-no-retorno-tipo-lapiz.jpg
CUNAS,,"ZUNCHO 1,20 M X UNIDAD",8500,img/products/zuncho-1-20-m-x-unidad.jpg
CUNAS,,CUNAS 273 / 323,50000,img/products/cunas-273-323.jpg
CUNAS,,CUNA KANGOO,85000,img/products/cuna-kangoo.jpg
CUNAS,,CUNA VOYAGE,0,img/products/cuna-voyage.jpg
CUNAS,,CUNA BAJO CHASIS - ECOSPORT NUEVA,0,img/products/cuna-bajo-chasis-ecosport-nueva.jpg
CUNAS,,CUNA ECOSPORT 2015,0,img/products/cuna-ecosport-2015.jpg
CUNAS,,CUNA PARTNER,0,img/products/cuna-partner.jpg
CUNAS,,CUNA DUSTER C/SOPORTE,0,img/products/cuna-duster-c-soporte.jpg
CUNAS,,CUNA SURAN (2X30 C/SOPORTE),0,img/products/cuna-suran-2x30-c-soporte.jpg
CUNAS,,CUNA SURAN,0,img/products/cuna-suran.jpg
